Curso;Unidade Curricular;Turno;Turma;Inscritos no turno;Dia da semana;Hora início da aula;Hora fim da aula;Data da aula;Sala atribuída à aula;Lotação da sala
null;Introdução à Ciência de Dados;null;0;18:00:00;18:00:00;16/02/2023;D1.03,;30; 03583TP05;QUI
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;14:30:00;14:30:00;17/04/2023;Auditório;30; PISIDT01;SEG
null;Engenharia de Software;null;0;09:30:00;09:30:00;08/03/2023;D1.02,;30; EngSTP02;QUA
null;Interacção Pessoa-Máquina;null;0;13:00:00;13:00:00;02/03/2023;Auditório;30; L5316TP05;QUI
null;Interacção Pessoa-Máquina;null;0;14:30:00;14:30:00;31/03/2023;C6.10,;30; L5316T02;SEX
null;Introdução à Ciência de Dados;null;0;11:00:00;11:00:00;25/03/2023;D1.09,;30; 03583TP05;SÁB
null;Engenharia de Software;null;0;16:00:00;16:00:00;03/05/2023;D1.09,;30; EngSTP02;QUA
null;Engenharia de Software;null;0;10:30:00;10:30:00;07/02/2023;Auditório;30; EngST01;TER
null;Processamento de Informação;null;0;16:00:00;16:00:00;21/09/2022;Auditório;30; L0779T01;QUA
null;Processamento de Informação;null;0;16:00:00;16:00:00;23/11/2022;Auditório;30; L0779T01;QUA
null;Programação Concorrente e Distribuída;null;0;16:00:00;16:00:00;17/10/2022;Auditório;30; L5096T03;SEG
null;Engenharia de Software;null;0;14:30:00;14:30:00;12/04/2023;D1.09,;30; EngSTP02;QUA
null;Arquitetura de Redes;null;0;13:00:00;13:00:00;19/10/2022;C5.06,;30; 03708TP20;QUA
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;13:00:00;13:00:00;16/05/2023;C4.06,;30; PISIDPL03;TER
null;Sistemas de Data Warehouse e Business Intelligence;null;0;11:00:00;11:00:00;06/12/2022;C6.08,;30; 03744;TER
null;Agentes Autónomos;null;0;13:00:00;13:00:00;06/12/2022;C5.08,;30; 03727TP04;TER
null;Agentes Autónomos;null;0;13:00:00;13:00:00;18/10/2022;C5.08,;30; 03727TP04;TER
null;Interacção Pessoa-Máquina;null;0;14:30:00;14:30:00;16/02/2023;Auditório;30; L5316TP05;QUI
null;Introdução à Ciência de Dados;null;0;18:00:00;18:00:00;08/02/2023;D1.03,;30; 03583TP05;QUA
null;Programação Concorrente e Distribuída;null;0;14:30:00;14:30:00;04/10/2022;0S01,;30; L5096TP04;TER
null;Programação Concorrente e Distribuída;null;0;14:30:00;14:30:00;13/09/2022;0S01,;30; L5096TP04;TER
null;Agentes Autónomos;null;0;13:00:00;13:00:00;15/11/2022;D1.09,;30; 03727TP04;TER
null;Agentes Autónomos;null;0;13:00:00;13:00:00;24/10/2022;Auditório;30; 03727T02;SEG
null;Agentes Autónomos;null;0;13:00:00;13:00:00;14/11/2022;Auditório;30; 03727T02;SEG
null;Sistemas de Data Warehouse e Business Intelligence;null;0;11:00:00;11:00:00;13/09/2022;C6.07,;30; 03744;TER
null;Programação Concorrente e Distribuída;null;0;14:30:00;14:30:00;15/11/2022;0S01,;30; L5096TP04;TER
null;Programação Concorrente e Distribuída;null;0;16:00:00;16:00:00;10/10/2022;Auditório;30; L5096T03;SEG
null;Introdução à Ciência de Dados;null;0;18:00:00;18:00:00;20/04/2023;D1.03,;30; 03583TP05;QUI
null;Processamento de Informação;null;0;16:00:00;16:00:00;09/11/2022;Auditório;30; L0779T01;QUA
null;Interacção Pessoa-Máquina;null;0;14:30:00;14:30:00;14/04/2023;C6.10,;30; L5316T02;SEX
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;14:30:00;14:30:00;27/02/2023;Auditório;30; PISIDT01;SEG
null;Desenvolvimento para A Internet e Aplicações Móveis;null;0;16:00:00;16:00:00;17/03/2023;C6.07,;30; DIAMTP01;SEX
null;Processamento de Informação;null;0;16:00:00;16:00:00;23/09/2022;Auditório;30; L0779TP02;SEX
null;Desenvolvimento para A Internet e Aplicações Móveis;null;0;16:00:00;16:00:00;21/03/2023;C6.07,;30; DIAMTP01;TER
null;Introdução à Ciência de Dados;null;0;18:00:00;18:00:00;01/03/2023;D1.03,;30; 03583TP05;QUA
null;Sistemas de Data Warehouse e Business Intelligence;null;0;09:30:00;09:30:00;11/10/2022;C6.08,;30; 03744;TER
null;Interacção Pessoa-Máquina;null;0;13:00:00;13:00:00;25/05/2023;C5.07,;30; L5316TP05;QUI
null;Programação Concorrente e Distribuída;null;0;16:00:00;16:00:00;24/10/2022;Auditório;30; L5096T03;SEG
null;Desenvolvimento para A Internet e Aplicações Móveis;null;0;16:00:00;16:00:00;10/02/2023;C6.07,;30; DIAMTP01;SEX
null;Interacção Pessoa-Máquina;null;0;14:30:00;14:30:00;12/05/2023;Auditório;30; L5316T02;SEX
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;14:30:00;14:30:00;07/02/2023;C5.08,;30; PISIDTP02;TER
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;14:30:00;14:30:00;14/02/2023;C5.08,;30; PISIDTP02;TER
null;Processamento de Informação;null;0;14:30:00;14:30:00;14/10/2022;Auditório;30; L0779TP02;SEX
null;Processamento de Informação;null;0;16:00:00;16:00:00;14/10/2022;Auditório;30; L0779TP02;SEX
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;14:30:00;14:30:00;13/03/2023;Auditório;30; PISIDT01;SEG
null;Sistemas de Data Warehouse e Business Intelligence;null;0;09:30:00;09:30:00;25/10/2022;C6.08,;30; 03744;TER
null;Engenharia de Software;null;0;14:30:00;14:30:00;03/05/2023;D1.09,;30; EngSTP02;QUA
null;Engenharia de Software;null;0;13:00:00;13:00:00;13/03/2023;Auditório;30; EngST01;SEG
null;Agentes Autónomos;null;0;13:00:00;13:00:00;29/11/2022;D1.09,;30; 03727TP04;TER
null;Projeto de Integração de Sistemas de Informação Distribuídos;null;0;14:30:00;14:30:00;09/05/2023;C5.08,;30; PISIDTP02;TER
